term,definition,part_of_speech,pronunciation,example,level,subject,tags
abandon,放弃；抛弃,verb,/əˈbændən/,They had to abandon the damaged car.,gaokao,english,gaokao;core
ability,能力；才能,noun,/əˈbɪləti/,She has the ability to solve hard problems.,gaokao,english,gaokao;core
absorb,吸收；使全神贯注,verb,/əbˈzɔːb/,Plants absorb water through their roots.,gaokao,english,gaokao;core
abstract,抽象的；深奥的,adjective,/ˈæbstrækt/,This abstract idea is hard to explain.,gaokao,english,gaokao;core
academic,学术的；学业的,adjective,/ˌækəˈdemɪk/,His academic results are excellent.,gaokao,english,gaokao;core
accept,接受；承认,verb,/əkˈsept/,I accept your apology.,gaokao,english,gaokao;core
access,通道；使用权,noun,/ˈækses/,Students have free access to the library.,gaokao,english,gaokao;core
accompany,陪伴；伴随,verb,/əˈkʌmpəni/,I will accompany you to the station.,gaokao,english,gaokao;core
accomplish,完成；实现,verb,/əˈkʌmplɪʃ/,We can accomplish more as a team.,gaokao,english,gaokao;core
account,账户；描述；解释,noun,/əˈkaʊnt/,She gave a clear account of the accident.,gaokao,english,gaokao;core
accurate,准确的；精确的,adjective,/ˈækjərət/,His answer is accurate and complete.,gaokao,english,gaokao;core
accuse,指控；指责,verb,/əˈkjuːz/,Do not accuse others without proof.,gaokao,english,gaokao;core
achieve,实现；取得,verb,/əˈtʃiːv/,Hard work helps you achieve your goals.,gaokao,english,gaokao;core
acknowledge,承认；致谢,verb,/əkˈnɒlɪdʒ/,We must acknowledge our mistakes.,gaokao,english,gaokao;core
acquire,获得；学到,verb,/əˈkwaɪə/,Children acquire language very quickly.,gaokao,english,gaokao;core
adapt,适应；改编,verb,/əˈdæpt/,New students must adapt to campus life.,gaokao,english,gaokao;core
address,地址；演讲,noun,/əˈdres/,Please write your address here.,gaokao,english,gaokao;core
adjust,调整；适应,verb,/əˈdʒʌst/,You can adjust the seat for comfort.,gaokao,english,gaokao;core
admire,钦佩；欣赏,verb,/ədˈmaɪə/,I really admire her courage.,gaokao,english,gaokao;core
admit,承认；准许进入,verb,/ədˈmɪt/,He did admit his mistake at last.,gaokao,english,gaokao;core
adopt,采用；收养,verb,/əˈdɒpt/,The school will adopt a new rule.,gaokao,english,gaokao;core
advantage,优势；好处,noun,/ədˈvɑːntɪdʒ/,Speaking English is a real advantage.,gaokao,english,gaokao;core
adventure,冒险；奇遇,noun,/ədˈventʃə/,The trip became a great adventure.,gaokao,english,gaokao;core
advertise,做广告；宣传,verb,/ˈædvətaɪz/,They advertise the product online.,gaokao,english,gaokao;core
affect,影响；感动,verb,/əˈfekt/,Sleep can affect your memory.,gaokao,english,gaokao;core
afford,买得起；承担得起,verb,/əˈfɔːd/,We cannot afford a new car now.,gaokao,english,gaokao;core
agriculture,农业；种植业,noun,/ˈæɡrɪkʌltʃə/,Modern agriculture depends on science.,gaokao,english,gaokao;core
aim,目标；瞄准,noun,/eɪm/,Our aim is to finish before noon.,gaokao,english,gaokao;core
alarm,警报；惊恐,noun,/əˈlɑːm/,The fire alarm woke everyone up.,gaokao,english,gaokao;core
allow,允许；准许,verb,/əˈlaʊ/,We do not allow phones in class.,gaokao,english,gaokao;core
ambition,雄心；抱负,noun,/æmˈbɪʃn/,Her ambition is to become a doctor.,gaokao,english,gaokao;core
amount,数量；金额,noun,/əˈmaʊnt/,A large amount of water was wasted.,gaokao,english,gaokao;core
analysis,分析；解析,noun,/əˈnæləsɪs/,His analysis of the data is convincing.,gaokao,english,gaokao;core
ancient,古代的；古老的,adjective,/ˈeɪnʃənt/,This is an ancient Chinese poem.,gaokao,english,gaokao;core
announce,宣布；通知,verb,/əˈnaʊns/,They will announce the result tomorrow.,gaokao,english,gaokao;core
annoy,使恼怒；打扰,verb,/əˈnɔɪ/,Loud noise can annoy the neighbours.,gaokao,english,gaokao;core
anxious,焦虑的；渴望的,adjective,/ˈæŋkʃəs/,She felt anxious before the exam.,gaokao,english,gaokao;core
apologize,道歉；认错,verb,/əˈpɒlədʒaɪz/,You should apologize to your friend.,gaokao,english,gaokao;core
appear,出现；显得,verb,/əˈpɪə/,Stars appear when night falls.,gaokao,english,gaokao;core
appetite,食欲；欲望,noun,/ˈæpɪtaɪt/,Exercise gives me a good appetite.,gaokao,english,gaokao;core
apply,申请；应用,verb,/əˈplaɪ/,You can apply for the scholarship online.,gaokao,english,gaokao;core
appreciate,感激；欣赏,verb,/əˈpriːʃieɪt/,I appreciate your kind help.,gaokao,english,gaokao;core
approach,方法；接近,noun,/əˈprəʊtʃ/,We need a new approach to the problem.,gaokao,english,gaokao;core
appropriate,适当的；合适的,adjective,/əˈprəʊpriət/,Wear appropriate clothes for the interview.,gaokao,english,gaokao;core
approve,批准；赞成,verb,/əˈpruːv/,My parents approve of my plan.,gaokao,english,gaokao;core
argue,争论；主张,verb,/ˈɑːɡjuː/,They often argue about small things.,gaokao,english,gaokao;core
arrange,安排；整理,verb,/əˈreɪndʒ/,Let us arrange a meeting next week.,gaokao,english,gaokao;core
arrest,逮捕；阻止,verb,/əˈrest/,The police will arrest the thief.,gaokao,english,gaokao;core
artificial,人造的；虚假的,adjective,/ˌɑːtɪˈfɪʃl/,Many students study artificial intelligence today.,gaokao,english,gaokao;core
ashamed,羞愧的；惭愧的,adjective,/əˈʃeɪmd/,He felt ashamed of his rude words.,gaokao,english,gaokao;core
aspect,方面；层面,noun,/ˈæspekt/,Every aspect of the plan was discussed.,gaokao,english,gaokao;core
assess,评估；评价,verb,/əˈses/,Teachers assess students in many ways.,gaokao,english,gaokao;core
assist,帮助；协助,verb,/əˈsɪst/,Volunteers assist the elderly every week.,gaokao,english,gaokao;core
assume,假定；承担,verb,/əˈsjuːm/,Do not assume that everyone agrees.,gaokao,english,gaokao;core
attach,附上；重视,verb,/əˈtætʃ/,Please attach your photo to the form.,gaokao,english,gaokao;core
attempt,尝试；企图,noun,/əˈtempt/,His first attempt ended in failure.,gaokao,english,gaokao;core
attend,参加；出席；照料,verb,/əˈtend/,All students must attend the meeting.,gaokao,english,gaokao;core
attitude,态度；看法,noun,/ˈætɪtjuːd/,A positive attitude makes a difference.,gaokao,english,gaokao;core
attract,吸引；引起,verb,/əˈtrækt/,Bright colours attract young children.,gaokao,english,gaokao;core
audience,观众；听众,noun,/ˈɔːdiəns/,The audience clapped for a long time.,gaokao,english,gaokao;core
available,可用的；可获得的,adjective,/əˈveɪləbl/,Tickets are still available online.,gaokao,english,gaokao;core
avoid,避免；躲开,verb,/əˈvɔɪd/,We should avoid using plastic bags.,gaokao,english,gaokao;core
aware,意识到的；知道的,adjective,/əˈweə/,Are you aware of the new rule?,gaokao,english,gaokao;core
balance,平衡；余额,noun,/ˈbæləns/,Try to keep a balance between work and rest.,gaokao,english,gaokao;core
ban,禁止；禁令,verb,/bæn/,Many cities ban cars in the centre.,gaokao,english,gaokao;core
bargain,讨价还价；便宜货,noun,/ˈbɑːɡɪn/,This coat was a real bargain.,gaokao,english,gaokao;core
behave,表现；举止,verb,/bɪˈheɪv/,Please behave well in public places.,gaokao,english,gaokao;core
belief,信念；相信,noun,/bɪˈliːf/,His belief in science never changed.,gaokao,english,gaokao;core
benefit,好处；受益,noun,/ˈbenɪfɪt/,Reading brings great benefit to students.,gaokao,english,gaokao;core
